0	1	1	97	4.0
1	1	1	156	4.0
0	0	0	17	3.0
0	0	0	14	3.0
1	1	0	70	4.0
0	0	0	37	4.0
0	0	0	13	1.5
0	1	1	23	3.0
0	0	0	163	4.0
1	1	0	14	3.5
0	0	1	58	4.5
1	1	1	47	4.0
0	1	0	12	2.0
1	1	1	393	4.0
0	1	0	61	3.5
1	1	0	39	2.5
0	0	1	32	3.5
0	0	0	31	2.5
0	0	0	15	2.5
0	0	0	11	2.5
1	1	0	212	4.0
0	0	1	72	4.0
0	0	1	79	3.5
0	0	1	83	3.0
1	1	1	27	3.5
1	1	0	24	3.5
0	0	1	27	3.5
1	1	1	27	3.0
1	1	0	45	3.5
0	0	0	13	2.0
0	0	0	5	3.5
1	1	0	15	4.0
0	0	1	66	4.5
0	1	1	163	4.0
1	1	1	22	3.5
0	0	0	5	2.0
1	1	1	169	4.0
0	0	0	21	4.0
1	1	1	67	3.5
0	0	1	15	3.5
0	1	1	170	4.0
1	1	0	251	3.5
1	1	1	117	3.5
0	1	1	97	2.5
0	1	1	14	3.5
1	1	1	27	4.0
0	0	0	11	2.0
0	0	0	146	4.0
0	0	0	58	4.5
0	0	1	102	2.5
0	1	1	80	4.0
0	0	1	18	3.5
1	1	1	138	4.0
0	0	0	12	2.0
1	1	0	252	4.0
1	1	1	171	4.0
0	1	0	10	4.0
1	1	0	15	4.0
1	1	1	279	4.0
1	1	0	199	4.0
0	0	0	10	2.0
0	1	1	93	3.0
0	0	1	14	3.0
1	1	0	40	3.5
1	1	1	23	3.0
1	1	1	142	3.0
1	1	1	138	4.0
1	1	0	146	3.5
0	0	1	121	3.0
1	1	0	3	4.0
1	1	1	46	3.5
0	0	0	42	4.0
0	0	0	7	3.5
1	1	1	277	4.0
0	1	1	95	3.5
1	1	1	158	3.5
0	1	0	11	4.0
1	1	0	43	3.5
0	0	1	38	4.0
0	1	0	129	4.0
0	1	1	6	2.0
0	1	1	12	3.5
0	1	1	219	4.0
0	1	1	227	3.5
0	0	1	59	4.0
0	1	1	296	4.0
1	1	1	80	3.0
0	0	0	5	4.0
0	0	1	101	4.0
1	1	1	45	4.0
0	0	0	9	3.5
1	1	1	233	3.5
0	0	1	36	4.5
1	1	0	58	3.0
1	1	0	33	4.0
0	1	0	10	4.5
0	1	0	68	4.0
1	1	0	221	4.0
1	1	1	388	3.5
1	1	0	499	3.5
0	0	1	285	4.5
0	1	0	15	2.5
1	1	1	79	4.0
0	1	1	117	4.0
0	1	1	26	3.5
0	0	1	14	2.5
0	0	0	15	3.5
1	1	0	83	3.0
1	1	0	47	3.0
1	1	0	75	4.0
